fighter1,fighter2,winner,method,round,McGregor,Khabib
Dustin Poirier,Khabib,Dustin Poirier,Unanimous Decision,3,15,15
Dustin Poirier,Khabib,Dustin Poirier,KO,3,16,14
Dustin Poirier,Khabib,,Majority Draw,3,17,16
Dustin Poirier,Khabib,,Majority Draw,3,10,10
Dustin Poirier,Khabib,Khabib,KO,3,15,13
Dustin Poirier,Khabib,Khabib,KO,3,12,13
Dustin Poirier,Khabib,Dustin Poirier,Unanimous Decision,3,14,11
Dustin Poirier,Khabib,,Majority Draw,3,15,15
Dustin Poirier,Khabib,Dustin Poirier,Unanimous Decision,3,12,12
Dustin Poirier,Khabib,Khabib,Submission,2,9,8
Dustin Poirier,Khabib,Dustin Poirier,Unanimous Decision,3,13,13
Dustin Poirier,Khabib,Khabib,Submission,3,7,8
Dustin Poirier,Khabib,Khabib,Submission,2,9,8
Dustin Poirier,Khabib,Khabib,Submission,2,7,5
Dustin Poirier,Khabib,Dustin Poirier,Submission,2,6,5
Dustin Poirier,Khabib,Khabib,Unanimous Decision,3,15,14
Dustin Poirier,Khabib,Khabib,Unanimous Decision,3,16,17
Dustin Poirier,Khabib,Dustin Poirier,Unanimous Decision,3,11,12
Dustin Poirier,Khabib,Khabib,Submission,3,9,7
Dustin Poirier,Khabib,Khabib,Unanimous Decision,3,10,8
Dustin Poirier,Khabib,,Majority Draw,3,13,13
Dustin Poirier,Khabib,,Majority Draw,3,18,17
Dustin Poirier,Khabib,,Majority Draw,3,8,8
Dustin Poirier,Khabib,Dustin Poirier,Submission,1,2,2
Dustin Poirier,Khabib,Khabib,Submission,3,10,9
Dustin Poirier,Khabib,Khabib,Submission,1,3,2
Dustin Poirier,Khabib,Dustin Poirier,Unanimous Decision,3,11,9
Dustin Poirier,Khabib,Khabib,Submission,1,1,0
Dustin Poirier,Khabib,,Majority Draw,3,13,11
Dustin Poirier,Khabib,Khabib,Submission,1,1,2
Dustin Poirier,Khabib,Dustin Poirier,KO,3,11,10
Dustin Poirier,Khabib,Khabib,Submission,3,12,11
